message_id,subject,player_id_0,player_id_1,player_id_2,player_id_3,player_id_4,team_id_0,team_id_1,team_id_2,team_id_3,team_id_4,league_id_0,league_id_1,importance,message_type,hype,sender_type,sender_id,recipient_id,trade_id,date,deleted,notify,ongoing_story_id,text_is_modified
1,"",251,184,0,0,0,9,2,0,0,0,100,0,3,1,3,5,9,0,0,"2017-1-2",0,1,-1,0
2,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-2-20",0,1,-1,0
3,"",195,0,0,0,0,11,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-1-22",0,1,-1,0
4,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-2-27",0,1,-1,0
5,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2017-2-18",0,1,-1,0
6,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-3-6",0,1,-1,0
7,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-3-13",0,1,-1,0
8,"",252,0,0,0,0,10,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-3-16",0,1,-1,0
9,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,"2017-3-18",0,1,-1,0
10,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"2017-3-18",0,1,-1,0
11,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,"2017-3-18",0,1,-1,0
12,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,"2017-3-18",0,1,-1,0
13,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,"2017-3-18",0,1,-1,0
14,"",0,0,0,0,0,0,0,0,0,0,100,0,3,3,3,5,100,0,0,"2017-3-18",0,1,-1,0
15,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2017-3-18",0,1,-1,0
16,"",0,0,0,0,0,9,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-3-20",0,1,-1,0
17,"",174,0,0,0,0,1,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-3-21",0,1,-1,0
18,"",169,0,0,0,0,10,0,0,0,0,100,0,3,7,1,5,10,0,0,"2017-3-27",0,1,-1,0
19,"",0,0,0,0,0,10,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-3-27",0,1,-1,0
20,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-3-27",0,1,-1,0
21,"",225,0,0,0,0,10,1,0,0,0,100,0,3,4,2,5,10,0,0,"2017-3-29",0,1,-1,0
22,"",245,0,0,0,0,9,11,0,0,0,100,0,3,4,2,5,9,0,0,"2017-4-1",0,1,-1,0
23,"",271,0,0,0,0,9,0,0,0,0,100,0,3,7,1,5,9,0,0,"2017-4-3",0,1,-1,0
24,"",0,0,0,0,0,10,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-4-3",0,1,-1,0
25,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-4-3",0,1,-1,0
26,"",223,0,0,0,0,1,3,0,0,0,100,0,3,4,2,5,1,0,0,"2017-4-7",0,1,-1,0
27,"",252,0,0,0,0,10,0,0,0,0,100,0,3,7,1,5,10,0,0,"2017-4-10",0,1,-1,0
28,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-4-10",0,1,-1,0
29,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-4-10",0,1,-1,0
30,"",186,0,0,0,0,3,9,0,0,0,100,0,3,4,2,5,3,0,0,"2017-4-15",0,1,-1,0
31,"",274,0,0,0,0,10,0,0,0,0,100,0,3,7,1,5,10,0,0,"2017-4-17",0,1,-1,0
32,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-4-17",0,1,-1,0
33,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-4-17",0,1,-1,0
34,"",275,0,0,0,0,1,0,0,0,0,100,0,3,7,1,5,1,0,0,"2017-4-24",0,1,-1,0
35,"",221,0,0,0,0,2,11,0,0,0,100,0,3,4,2,5,2,0,0,"2017-4-22",0,1,-1,0
36,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-4-24",0,1,-1,0
37,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-4-24",0,1,-1,0
38,"",223,0,0,0,0,1,2,0,0,0,100,0,3,4,2,5,1,0,0,"2017-4-25",0,1,-1,0
39,"",259,0,0,0,0,2,0,0,0,0,100,0,3,7,1,5,2,0,0,"2017-5-1",0,1,-1,0
40,"",186,0,0,0,0,3,0,0,0,0,100,0,3,7,2,5,3,0,0,"2017-5-1",0,1,-1,0
41,"",223,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-5-1",0,1,-1,0
42,"",223,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-5-1",0,1,-1,0
43,"",0,0,0,0,0,2,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-5-1",0,1,-1,0
44,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-5-1",0,1,-1,0
45,"",165,0,0,0,0,9,11,0,0,0,100,0,3,1,3,5,9,0,0,"2017-5-2",0,1,-1,0
46,"",275,0,0,0,0,1,10,0,0,0,100,0,3,4,2,5,1,0,0,"2017-5-2",0,1,-1,0
47,"",185,0,0,0,0,10,1,0,0,0,100,0,3,4,2,5,10,0,0,"2017-5-6",0,1,-1,0
48,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2017-5-7",0,1,-1,0
49,"",252,0,0,0,0,10,0,0,0,0,100,0,3,7,1,5,10,0,0,"2017-5-8",0,1,-1,0
50,"",0,0,0,0,0,2,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-5-8",0,1,-1,0
51,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-5-8",0,1,-1,0
52,"",209,0,0,0,0,9,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-5-10",0,1,1,0
53,"",273,0,0,0,0,11,0,0,0,0,100,0,3,7,1,5,11,0,0,"2017-5-15",0,1,-1,0
54,"",0,0,0,0,0,2,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-5-15",0,1,-1,0
55,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-5-15",0,1,-1,0
56,"",211,0,0,0,0,9,3,0,0,0,100,0,3,4,2,5,9,0,0,"2017-5-16",0,1,-1,0
57,"",186,0,0,0,0,3,0,0,0,0,100,0,3,7,1,5,3,0,0,"2017-5-22",0,1,-1,0
58,"",0,0,0,0,0,10,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-5-22",0,1,-1,0
59,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-5-22",0,1,-1,0
60,"",209,0,0,0,0,9,1,0,0,0,100,0,3,4,2,5,9,0,0,"2017-5-23",0,1,-1,0
61,"",228,0,0,0,0,3,10,0,0,0,100,0,3,4,2,5,3,0,0,"2017-5-25",0,1,-1,0
62,"",252,0,0,0,0,10,3,0,0,0,100,0,3,4,2,5,10,0,0,"2017-5-26",0,1,-1,0
63,"",252,0,0,0,0,10,0,0,0,0,100,0,3,7,1,5,10,0,0,"2017-5-29",0,1,-1,0
64,"",0,0,0,0,0,10,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-5-29",0,1,-1,0
65,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-5-29",0,1,-1,0
66,"",209,0,0,0,0,9,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-5-29",0,1,1,0
67,"",273,0,0,0,0,11,0,0,0,0,100,0,3,7,2,5,11,0,0,"2017-6-1",0,1,-1,0
68,"",174,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-6-1",0,1,-1,0
69,"",252,0,0,0,0,10,0,0,0,0,100,0,3,7,2,5,10,0,0,"2017-6-1",0,1,-1,0
70,"",274,0,0,0,0,10,9,0,0,0,100,0,3,4,2,5,10,0,0,"2017-6-2",0,1,-1,0
71,"",274,0,0,0,0,10,0,0,0,0,100,0,3,7,1,5,10,0,0,"2017-6-5",0,1,-1,0
72,"",0,0,0,0,0,10,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-6-5",0,1,-1,0
73,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-6-5",0,1,-1,0
74,"",190,0,0,0,0,1,10,0,0,0,100,0,3,4,2,5,1,0,0,"2017-6-11",0,1,-1,0
75,"",190,0,0,0,0,1,0,0,0,0,100,0,3,7,1,5,1,0,0,"2017-6-12",0,1,-1,0
76,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-6-12",0,1,-1,0
77,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-6-12",0,1,-1,0
78,"",162,0,0,0,0,9,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-6-13",0,1,-1,0
79,"",262,0,0,0,0,9,0,0,0,0,100,0,3,7,1,5,9,0,0,"2017-6-19",0,1,-1,0
80,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-6-19",0,1,-1,0
81,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-6-19",0,1,-1,0
82,"",224,0,0,0,0,9,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-6-19",0,1,-1,0
83,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-6-26",0,1,-1,0
84,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-6-26",0,1,-1,0
85,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2017-6-25",0,1,-1,0
86,"",190,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2017-6-27",0,1,-1,0
87,"",274,0,0,0,0,10,0,0,0,0,100,0,3,7,2,5,10,0,0,"2017-7-1",0,1,-1,0
88,"",174,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-7-1",0,1,-1,0
89,"",274,0,0,0,0,10,0,0,0,0,100,0,3,7,2,5,10,0,0,"2017-7-1",0,1,-1,0
90,"",221,0,0,0,0,2,0,0,0,0,100,0,3,7,1,5,2,0,0,"2017-7-3",0,1,-1,0
91,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-7-3",0,1,-1,0
92,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-7-3",0,1,-1,0
93,"",223,0,0,0,0,1,3,0,0,0,100,0,3,4,2,5,1,0,0,"2017-7-3",0,1,-1,0
94,"",275,0,0,0,0,1,2,0,0,0,100,0,3,4,2,5,1,0,0,"2017-7-11",0,1,-1,0
95,"",190,0,0,0,0,1,0,0,0,0,100,0,3,7,1,5,1,0,0,"2017-7-10",0,1,-1,0
96,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-7-10",0,1,-1,0
97,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-7-10",0,1,-1,0
98,"",225,0,0,0,0,10,9,0,0,0,100,0,3,4,2,5,10,0,0,"2017-7-12",0,1,-1,0
99,"",244,0,0,0,0,11,9,0,0,0,100,0,3,4,2,5,11,0,0,"2017-7-16",0,1,-1,0
100,"",237,0,0,0,0,1,0,0,0,0,100,0,3,7,1,5,1,0,0,"2017-7-17",0,1,-1,0
101,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-7-17",0,1,-1,0
102,"",275,0,0,0,0,1,3,0,0,0,100,0,3,4,2,5,1,0,0,"2017-7-21",0,1,-1,0
103,"",231,0,0,0,0,2,9,0,0,0,100,0,3,4,2,5,2,0,0,"2017-7-22",0,1,-1,0
104,"",236,0,0,0,0,11,0,0,0,0,100,0,3,7,1,5,11,0,0,"2017-7-24",0,1,-1,0
105,"",0,0,0,0,0,10,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-7-24",0,1,-1,0
106,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-7-24",0,1,-1,0
107,"",275,0,0,0,0,1,11,0,0,0,100,0,3,4,3,5,1,0,0,"2017-7-29",0,1,-1,0
108,"",177,0,0,0,0,1,0,0,0,0,100,0,3,7,1,5,1,0,0,"2017-7-31",0,1,-1,0
109,"",0,0,0,0,0,2,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-7-31",0,1,-1,0
110,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-7-31",0,1,-1,0
111,"",170,0,0,0,0,9,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-8-6",0,1,2,0
112,"",237,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-8-1",0,1,-1,0
113,"",223,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-8-1",0,1,-1,0
114,"",237,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-8-1",0,1,-1,0
115,"",244,0,0,0,0,11,0,0,0,0,100,0,3,7,1,5,11,0,0,"2017-8-7",0,1,-1,0
116,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-8-7",0,1,-1,0
117,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-8-7",0,1,-1,0
118,"",231,0,0,0,0,2,1,0,0,0,100,0,3,4,2,5,2,0,0,"2017-8-16",0,1,-1,0
119,"",262,0,0,0,0,9,0,0,0,0,100,0,3,7,1,5,9,0,0,"2017-8-14",0,1,-1,0
120,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-8-14",0,1,-1,0
121,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-8-14",0,1,-1,0
122,"",229,228,0,0,0,2,3,0,0,0,100,0,3,1,3,5,2,0,0,"2017-8-18",0,1,-1,0
123,"",216,0,0,0,0,3,11,0,0,0,100,0,3,1,3,5,3,0,0,"2017-8-18",0,1,-1,0
124,"",221,0,0,0,0,2,3,0,0,0,100,0,3,4,2,5,2,0,0,"2017-8-19",0,1,-1,0
125,"",209,0,0,0,0,9,0,0,0,0,100,0,3,7,1,5,9,0,0,"2017-8-21",0,1,-1,0
126,"",0,0,0,0,0,2,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-8-21",0,1,-1,0
127,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-8-21",0,1,-1,0
128,"",0,0,0,0,0,0,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-8-22",0,1,-1,0
129,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2017-8-22",0,1,-1,0
130,"",170,0,0,0,0,9,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-8-22",0,1,2,0
131,"",271,0,0,0,0,9,0,0,0,0,100,0,3,7,1,5,9,0,0,"2017-8-28",0,1,-1,0
132,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-8-28",0,1,-1,0
133,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-8-28",0,1,-1,0
134,"",198,0,0,0,0,11,10,0,0,0,100,0,3,4,2,5,11,0,0,"2017-8-30",0,1,-1,0
135,"",275,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-9-1",0,1,-1,0
136,"",223,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-9-1",0,1,-1,0
137,"",275,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-9-1",0,1,-1,0
138,"",208,0,0,0,0,1,11,0,0,0,100,0,3,4,2,5,1,0,0,"2017-9-3",0,1,-1,0
139,"",197,0,0,0,0,3,9,0,0,0,100,0,3,4,2,5,3,0,0,"2017-9-6",0,1,-1,0
140,"",271,0,0,0,0,9,0,0,0,0,100,0,3,7,1,5,9,0,0,"2017-9-4",0,1,-1,0
141,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-9-4",0,1,-1,0
142,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-9-4",0,1,-1,0
143,"",229,0,0,0,0,3,10,0,0,0,100,0,3,4,2,5,3,0,0,"2017-9-10",0,1,-1,0
144,"",253,0,0,0,0,1,9,0,0,0,100,0,3,4,2,5,1,0,0,"2017-9-13",0,1,-1,0
145,"",275,0,0,0,0,1,0,0,0,0,100,0,3,7,1,5,1,0,0,"2017-9-11",0,1,-1,0
146,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-9-11",0,1,-1,0
147,"",238,0,0,0,0,2,1,0,0,0,100,0,3,4,2,5,2,0,0,"2017-9-15",0,1,-1,0
148,"",253,0,0,0,0,1,0,0,0,0,100,0,3,7,1,5,1,0,0,"2017-9-18",0,1,-1,0
149,"",0,0,0,0,0,1,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-9-18",0,1,-1,0
150,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-9-18",0,1,-1,0
151,"",229,0,0,0,0,3,2,0,0,0,100,0,3,4,2,5,3,0,0,"2017-9-19",0,1,-1,0
152,"",144,0,0,0,0,3,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-9-24",0,1,3,0
153,"",204,0,0,0,0,3,0,0,0,0,100,0,3,7,1,5,3,0,0,"2017-9-25",0,1,-1,0
154,"",0,0,0,0,0,2,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-9-25",0,1,-1,0
155,"",200,0,0,0,0,11,9,0,0,0,100,0,3,4,2,5,11,0,0,"2017-9-30",0,1,-1,0
156,"",244,0,0,0,0,11,9,0,0,0,100,0,3,4,2,5,11,0,0,"2017-9-30",0,1,-1,0
157,"",253,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-10-1",0,1,-1,0
158,"",223,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-10-1",0,1,-1,0
159,"",253,0,0,0,0,1,0,0,0,0,100,0,3,7,2,5,1,0,0,"2017-10-1",0,1,-1,0
160,"",244,0,0,0,0,11,0,0,0,0,100,0,3,7,1,5,11,0,0,"2017-10-2",0,1,-1,0
161,"",0,0,0,0,0,2,0,0,0,0,100,0,3,0,2,5,0,0,0,"2017-10-2",0,1,-1,0
162,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-10-2",0,1,-1,0
163,"",246,0,0,0,0,2,1,0,0,0,100,0,3,4,2,5,2,0,0,"2017-10-8",0,1,-1,0
164,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-10-9",0,1,-1,0
165,"",207,0,0,0,0,1,2,0,0,0,100,0,3,4,2,5,1,0,0,"2017-10-10",0,1,-1,0
166,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2017-10-5",0,1,-1,0
167,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2017-10-5",0,1,-1,0
168,"",223,0,0,0,0,1,0,0,0,0,100,0,3,5,3,5,1,0,0,"2017-10-5",0,1,-1,0
169,"",271,0,0,0,0,9,0,0,0,0,100,0,3,6,3,5,9,0,0,"2017-10-5",0,1,-1,0
170,"",0,0,0,0,0,1,2,0,0,0,100,0,3,3,3,5,1,0,0,"2017-10-15",0,1,-1,0
171,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-10-16",0,1,-1,0
172,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"2017-10-17",0,1,-1,0
173,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,"2017-10-17",0,1,-1,0
174,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,"2017-10-17",0,1,-1,0
175,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,"2017-10-17",0,1,-1,0
176,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,"2017-10-17",0,1,-1,0
177,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2017-10-17",0,1,-1,0
178,"",275,0,0,0,0,1,0,0,0,0,100,0,3,6,3,5,1,0,0,"2017-10-17",0,1,-1,0
179,"",223,0,0,0,0,1,0,0,0,0,100,0,3,6,3,5,1,0,0,"2017-10-17",0,1,-1,0
180,"",174,0,0,0,0,1,0,0,0,0,100,0,3,6,3,5,1,0,0,"2017-10-17",0,1,-1,0
181,"",163,0,0,0,0,9,0,0,0,0,100,0,3,6,2,5,9,0,0,"2017-10-17",0,1,-1,0
182,"",0,0,0,0,0,0,0,0,0,0,100,0,3,6,2,5,100,0,0,"2017-10-17",0,1,-1,0
183,"",0,0,0,0,0,0,0,0,0,0,100,0,3,6,2,5,100,0,0,"2017-10-17",0,1,-1,0
184,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,0,3,100,0,0,"2017-10-17",0,1,-1,0
185,"",144,0,0,0,0,3,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-10-19",0,1,3,0
186,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-10-23",0,1,-1,0
187,"",198,219,0,0,0,11,10,0,0,0,100,0,3,1,3,5,11,0,0,"2017-10-27",0,1,-1,0
188,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-10-30",0,1,-1,0
189,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-11-6",0,1,-1,0
190,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,"2017-11-11",0,1,-1,0
191,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,"2017-11-11",0,1,-1,0
192,"",255,0,0,0,0,9,3,0,0,0,100,0,3,1,3,5,9,0,0,"2017-11-11",0,1,-1,0
193,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,"2017-11-11",0,1,-1,0
194,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,"2017-11-11",0,1,-1,0
195,"",245,246,0,0,0,9,2,0,0,0,100,0,3,1,3,5,9,0,0,"2017-11-11",0,1,-1,0
196,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-11-13",0,1,-1,0
197,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-11-20",0,1,-1,0
198,"",195,0,0,0,0,9,11,0,0,0,100,0,3,1,3,5,9,0,0,"2017-11-20",0,1,-1,0
199,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-11-27",0,1,-1,0
200,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,"2017-12-1",0,1,-1,0
201,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,"2017-12-1",0,1,-1,0
202,"",262,191,258,274,0,9,10,0,0,0,100,0,3,1,3,5,9,0,0,"2017-12-1",0,1,-1,0
203,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2017-12-3",0,1,-1,0
204,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-12-4",0,1,-1,0
205,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-12-11",0,1,-1,0
206,"",128,0,0,0,0,10,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-12-14",0,1,-1,0
207,"",223,0,0,0,0,1,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-12-17",0,1,-1,0
208,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-12-18",0,1,-1,0
209,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2017-12-25",0,1,-1,0
210,"",186,0,0,0,0,3,10,0,0,0,100,0,3,1,3,5,3,0,0,"2017-12-25",0,1,-1,0
211,"",200,0,0,0,0,11,0,0,0,0,100,0,3,3,0,5,0,0,0,"2017-12-26",0,1,-1,0
212,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-1-8",0,1,-1,0
213,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-1-15",0,1,-1,0
214,"",224,225,126,0,0,9,10,0,0,0,100,0,3,1,3,5,9,0,0,"2018-1-16",0,1,-1,0
215,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2018-1-17",0,1,-1,0
216,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2018-1-18",0,1,-1,0
217,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-4-16",0,1,-1,0
218,"",100,0,0,0,0,10,0,0,0,0,100,0,3,3,0,5,0,0,0,"2018-4-16",0,1,-1,0
219,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-4-23",0,1,-1,0
220,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-4-30",0,1,-1,0
221,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-5-7",0,1,-1,0
222,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2018-4-14",0,1,-1,0
223,"",203,0,0,0,0,3,10,0,0,0,100,0,3,4,2,5,3,0,0,"2018-5-13",0,1,-1,0
224,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,"2018-5-12",0,1,-1,0
225,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"2018-5-12",0,1,-1,0
226,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,"2018-5-12",0,1,-1,0
227,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,"2018-5-12",0,1,-1,0
228,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,"2018-5-12",0,1,-1,0
229,"",0,0,0,0,0,0,0,0,0,0,100,0,3,3,3,5,100,0,0,"2018-5-12",0,1,-1,0
230,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2018-5-12",0,1,-1,0
231,"",77,0,0,0,0,11,3,0,0,0,100,0,3,4,2,5,11,0,0,"2018-5-15",0,1,-1,0
232,"",0,0,0,0,0,3,0,0,0,0,100,0,3,0,2,5,0,0,0,"2018-5-14",0,1,-1,0
233,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,5,0,0,0,"2018-5-14",0,1,-1,0
234,"",227,0,0,0,0,11,3,0,0,0,100,0,3,4,2,5,11,0,0,"2018-5-17",0,1,-1,0
