"team_id","league_id","game_id","date","time","innings","runs","hits","team_abbr","team_name","home/away","win","loss","division","league_abbr","ttl_wins","ttl_losses","below.500","winloss","RA","ttl_ra","ttl_runs","ttl_hits","ttl_rs_sq","ttl_ra_sq","gp","wp","pythag_win","pythag_loss","pythag_record","Primary Color","Division Standing","League Standing","season"
1,100,2,2029-05-15,1905,9,5,7,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",1,0,1,"1 - 0",3,3,5,7,25,9,1,0.735294117647059,1,0,"1 - 0","#0E1540",2,3,"2029"
1,100,7,2029-05-16,1905,11,5,5,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",2,0,2,"2 - 0",4,7,10,12,100,49,2,0.671140939597315,1,1,"1 - 1","#0E1540",2,3,"2029"
1,100,12,2029-05-17,1905,9,5,9,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",3,0,3,"3 - 0",4,11,15,21,225,121,3,0.65028901734104,2,1,"2 - 1","#0E1540",2,3,"2029"
1,100,17,2029-05-18,1905,9,4,10,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",3,1,2,"3 - 1",7,18,19,31,361,324,4,0.527007299270073,2,2,"2 - 2","#0E1540",2,3,"2029"
1,100,21,2029-05-21,1905,9,1,6,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",3,2,1,"3 - 2",2,20,20,37,400,400,5,0.5,2,3,"2 - 3","#0E1540",2,3,"2029"
1,100,26,2029-05-22,1905,9,11,12,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",4,2,2,"4 - 2",1,21,31,49,961,441,6,0.685449358059914,4,2,"4 - 2","#0E1540",2,3,"2029"
1,100,31,2029-05-23,1905,10,8,9,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",5,2,3,"5 - 2",7,28,39,58,1521,784,7,0.659869848156182,5,2,"5 - 2","#0E1540",2,3,"2029"
1,100,40,2029-05-26,1905,9,4,6,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",5,3,2,"5 - 3",8,36,43,64,1849,1296,8,0.5879173290938,5,3,"5 - 3","#0E1540",2,3,"2029"
2,100,2,2029-05-15,1905,9,3,7,"OBX","Outer Banks Aviators","away",0,1,"Eastern Division","PBE",0,1,-1,"0 - 1",5,5,3,7,9,25,1,0.264705882352941,0,1,"0 - 1","#FF6700",3,6,"2029"
2,100,7,2029-05-16,1905,11,4,9,"OBX","Outer Banks Aviators","away",0,1,"Eastern Division","PBE",0,2,-2,"0 - 2",5,10,7,16,49,100,2,0.328859060402685,1,1,"1 - 1","#FF6700",3,6,"2029"
2,100,12,2029-05-17,1905,9,4,11,"OBX","Outer Banks Aviators","away",0,1,"Eastern Division","PBE",0,3,-3,"0 - 3",5,15,11,27,121,225,3,0.34971098265896,1,2,"1 - 2","#FF6700",3,6,"2029"
